unnamed:_0;sku;nome;gênero;marca;indicado_para;altura_do_cano;color;value;description;media_rating;number_reviews;size;images;url_product;gola;material;time/atleta;manga;dimensões_aproximadas;garantia_do_fabricante;origem;estilo_da_peça;composição;tecnologia;peso_do_produto;definição_da_tecnologia;recomendações_de_uso;kit_composto_por;alça;aba;fechamento;capacidade;compartimento;linha;departamento_bs;cós;tipo_de_uso;capuz;bolso;personalização;categoria;pisada;itens_inclusos;importante;nível;circunferência;obs;modelo;solado;tipo;material_interno;classificação_indicativa;console;classificação;sac;faixa_preco;value_normalized
0;FBA-4965-108-38;Tênis Anthony Edwards 1 Low;Unissex;adidas;dia a dia;Cano Baixo;Azul e Preto;89999.0;amarre os cadarços com o estilo de uma das estrelas em ascensão do esporte este tênis assinado pela adidas basketball e anthony edwards foi desenvolvido para os cestinhas do jogo a entressola boost e lightstrike combinada é ultraleve e adiciona um retorno de energia excepcional aos seus movimentos mais explosivos o solado de borracha fornece todo o suporte de que você precisa para partir para o ataque enquanto a marca assinada de anthony edwards completa o visual;4.77;60;34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50;"https://static.lojanba.com/produtos/tenis-anthony-edwards-1-low/08/FBA-4965-108/FBA-4965-108_zoom1.jpg?ts=1756380273&ims=544x; https://static.lojanba.com/produtos/tenis-anthony-edwards-1-low/08/FBA-4965-108/FBA-4965-108_zoom2.jpg?ts=1756380273&ims=544x; https://static.lojanba.com/produtos/tenis-anthony-edwards-1-low/08/FBA-4965-108/FBA-4965-108_zoom3.jpg?ts=1756380273&ims=544x; https://static.lojanba.com/produtos/tenis-anthony-edwards-1-low/08/FBA-4965-108/FBA-4965-108_zoom4.jpg?ts=1756380273&ims=544x; https://static.lojanba.com/produtos/tenis-anthony-edwards-1-low/08/FBA-4965-108/FBA-4965-108_zoom5.jpg?ts=1756380273&ims=544x; https://static.lojanba.com/produtos/tenis-anthony-edwards-1-low/08/FBA-4965-108/FBA-4965-108_zoom6.jpg?ts=1756380273&ims=544x";https://www.lojanba.com/p/tenis-anthony-edwards-1-low-FBA-4965-108;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;não informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;premium;0.4512962496853763
1;C61-5423-188-02;Camiseta Mitchell & Ness Denver Nuggets Slam Anthony Masculina;Masculino;mitchell & ness;dia a dia;Não Informado;Mescla;6999.0;estilo esportivo com atitude e perfil clássico a camiseta masculina mitchell  ness denver nuggets slam anthony carmelo traz design exclusivo para garantir atitude e autenticidade no seu visual esta camiseta de basquete simula uma capa de revista com estampa do ala carmelo anthony que atuou na equipe de 2003 a 2011 ideal para demonstrar sua torcida no dia a dia e nas partidas sempre com conforto combine com bermuda nba denver nuggets calça jogger ou seu jeans favorito peça a sua e aproveite;4.43;7;P, M, G, GG;"https://static.lojanba.com/produtos/camiseta-mitchell-&-ness-denver-nuggets-slam-anthony-masculina/88/C61-5423-188/C61-5423-188_zoom1.jpg?ts=1773372984&ims=544x; https://static.lojanba.com/produtos/camiseta-mitchell-&-ness-denver-nuggets-slam-anthony-masculina/88/C61-5423-188/C61-5423-188_zoom2.jpg?ts=1773372984&ims=544x; https://static.lojanba.com/produtos/camiseta-mitchell-&-ness-denver-nuggets-slam-anthony-masculina/88/C61-5423-188/C61-5423-188_zoom3.jpg?ts=1773372984&ims=544x; https://static.lojanba.com/produtos/camiseta-mitchell-&-ness-denver-nuggets-slam-anthony-masculina/88/C61-5423-188/C61-5423-188_zoom4.jpg?ts=1773372984&ims=544x; https://static.lojanba.com/produtos/camiseta-mitchell-&-ness-denver-nuggets-slam-anthony-masculina/88/C61-5423-188/C61-5423-188_zoom5.jpg?ts=1773372984&ims=544x";https://www.lojanba.com/p/camiseta-mitchell-ness-denver-nuggets-slam-anthony-masculina-C61-5423-188;Gola Careca;Algodão;Denver Nuggets;Manga Curta;Medidas da Peça ( Tamanho G)- Ombro: 51 cm, Tórax: 120 cm, ,Comprimento: 80 cm;Contra defeito de fabricação;Nacional;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;não informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;premium;0.03347596274855273
2;JD8-4082-342-02;Regata Jersey NBA Nike Minessota Timberwolves Karl-Anthony Towns Nº 32 - Masculina;Masculino;nike;dia a dia;Não Informado;Azul Escuro;69999.0;mostre sua paixão pelo basquete dentro e fora das quadras com o regata nba nike minessota karl anthony towns swingman icon 22 masculina essa regata de basquete conta com a personalização do pivô karlanthony towns jr para se inspirar nas suas jogadas com estilo e garra conta ainda com tecido tecnológico que afasta o suor e mantém a pele seca por mais tempo calce seu tênis de basquete e sua bermuda esportiva para mood completo peça já sua regata de basquete masculina nba e deixe sua marca;5.0;4;P, M, G, GG, EGG;"https://static.lojanba.com/produtos/regata-jersey-nba-nike-minessota-timberwolves-karl-anthony-towns-n-32-masculina/42/JD8-4082-342/JD8-4082-342_zoom1.jpg?ts=1772594197&ims=544x; https://static.lojanba.com/produtos/regata-jersey-nba-nike-minessota-timberwolves-karl-anthony-towns-n-32-masculina/42/JD8-4082-342/JD8-4082-342_zoom2.jpg?ts=1772594197&ims=544x; https://static.lojanba.com/produtos/regata-jersey-nba-nike-minessota-timberwolves-karl-anthony-towns-n-32-masculina/42/JD8-4082-342/JD8-4082-342_zoom3.jpg?ts=1772594197&ims=544x; https://static.lojanba.com/produtos/regata-jersey-nba-nike-minessota-timberwolves-karl-anthony-towns-n-32-masculina/42/JD8-4082-342/JD8-4082-342_zoom4.jpg?ts=1772594197&ims=544x; https://static.lojanba.com/produtos/regata-jersey-nba-nike-minessota-timberwolves-karl-anthony-towns-n-32-masculina/42/JD8-4082-342/JD8-4082-342_zoom5.jpg?ts=1772594197&ims=544x";https://www.lojanba.com/p/regata-jersey-nba-nike-minessota-timberwolves-karlanthony-towns-n-32-masculina-JD8-4082-342;Gola Careca;Poliéster;Minnesota Timberwolves;Não Informado;Medidas da Peça ( Tamanho M) - Ombro: 35 cm, Tórax: 110 cm, Comprimento: 75 cm;Contra defeito de fabricação;Estrangeira - Adquirida no mercado interno;Com logo;100% Poliéster;Dri-Fit;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;não informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;premium;0.3506166624716839
3;SGL-041B-793-02;Regata Jersey NBA Nike Dallas Mavericks Anthony Davis Nº 3 Masculina;Masculino;nike;dia a dia;Não Informado;Preto e Chumbo;51499.0;leve o estilo dos mavericks com a regata jersey nba nike dallas mavericks anthony davis nº 3 essencial para os fãs de basquete e do craque anthony davis esta regata dos mavericks oferece um visual autêntico e cheio de atitude ideal para exibir seu amor pela franquia em todas as ocasiões confeccionada em tecido leve e respirável com tecnologia drifit garante máximo gerenciamento de umidade mantendo você seco e confortável seja nas quadras nas arquibancadas ou estilo street do dia a dia com o nome e número do jogador em destaque esta regata jersey nike reflete a energia e o legado de um dos maiores times da nba não perca tempo  combine com seu tênis de basquete preferido e vista o orgulho pelo dallas mavericks;0.0;0;P, M, G, GG;"https://static.lojanba.com/produtos/regata-jersey-nba-nike-dallas-mavericks-anthony-davis-n-3-masculina/93/SGL-041B-793/SGL-041B-793_zoom1.jpg?ts=1771218257&ims=544x; https://static.lojanba.com/produtos/regata-jersey-nba-nike-dallas-mavericks-anthony-davis-n-3-masculina/93/SGL-041B-793/SGL-041B-793_zoom2.jpg?ts=1771218257&ims=544x; https://static.lojanba.com/produtos/regata-jersey-nba-nike-dallas-mavericks-anthony-davis-n-3-masculina/93/SGL-041B-793/SGL-041B-793_zoom3.jpg?ts=1771218257&ims=544x; https://static.lojanba.com/produtos/regata-jersey-nba-nike-dallas-mavericks-anthony-davis-n-3-masculina/93/SGL-041B-793/SGL-041B-793_zoom4.jpg?ts=1771218257&ims=544x; https://static.lojanba.com/produtos/regata-jersey-nba-nike-dallas-mavericks-anthony-davis-n-3-masculina/93/SGL-041B-793/SGL-041B-793_zoom5.jpg?ts=1771218257&ims=544x; https://static.lojanba.com/produtos/regata-jersey-nba-nike-dallas-mavericks-anthony-davis-n-3-masculina/93/SGL-041B-793/SGL-041B-793_zoom6.jpg?ts=1771218257&ims=544x; https://static.lojanba.com/produtos/regata-jersey-nba-nike-dallas-mavericks-anthony-davis-n-3-masculina/93/SGL-041B-793/SGL-041B-793_zoom7.jpg?ts=1771218257&ims=544x";https://www.lojanba.com/p/regata-jersey-nba-nike-dallas-mavericks-anthony-davis-n-3-masculina-SGL-041B-793;Gola V;Poliéster;Não Informado;Não Informado;Medidas da Peça ( Tamanho M) - Ombro: 35 cm, Tórax: 110 cm Comprimento: 74 cm;Contra defeito de fabricação;Estrangeira - Adquirida no mercado interno;Não Informado;100% Poliéster;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;não informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;premium;0.2574880442990184
4;FBA-0928-006-35;Tênis Adidas A.E. Tênis 1 Low;Unissex;adidas;dia a dia;Cano Alto;Preto;79999.0;amarre os cadarços com o estilo de uma das estrelas em ascensão do esporte este tênis assinado pela adidas basketball e anthony edwards foi desenvolvido para os cestinhas do jogo a entressola boost e lightstrike combinada é ultraleve e adiciona um retorno de energia excepcional aos seus movimentos mais explosivos o solado de borracha fornece todo o suporte de que você precisa para partir para o ataque enquanto a marca assinada de anthony edwards completa o visual;4.75;8;34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50;"https://static.lojanba.com/produtos/tenis-adidas-ae-tenis-1-low/06/FBA-0928-006/FBA-0928-006_zoom1.jpg?ts=1739954833&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-ae-tenis-1-low/06/FBA-0928-006/FBA-0928-006_zoom2.jpg?ts=1739954833&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-ae-tenis-1-low/06/FBA-0928-006/FBA-0928-006_zoom3.jpg?ts=1739954833&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-ae-tenis-1-low/06/FBA-0928-006/FBA-0928-006_zoom4.jpg?ts=1739954833&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-ae-tenis-1-low/06/FBA-0928-006/FBA-0928-006_zoom5.jpg?ts=1739954833&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-ae-tenis-1-low/06/FBA-0928-006/FBA-0928-006_zoom6.jpg?ts=1739954833&ims=544x";https://www.lojanba.com/p/tenis-adidas-ae-tenis-1-low-FBA-0928-006;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;não informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;premium;0.4009564560785301
5;FBA-80BA-533-36;Tênis Adidas Anthony Edwards 1 Low;Unissex;adidas;dia a dia;Cano Baixo;Azul Turquesa e Preto;54999.0;amarre os cadarços com o estilo de uma das estrelas em ascensão do esporte este tênis assinado pela adidas basketball e anthony edwards foi desenvolvido para os cestinhas do jogo a entressola boost e lightstrike combinada é ultraleve e adiciona um retorno de energia excepcional aos seus movimentos mais explosivos o solado de borracha fornece todo o suporte de que você precisa para partir para o ataque enquanto a marca assinada de anthony edwards completa o visual;4.82;55;34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50;"https://static.lojanba.com/produtos/tenis-adidas-anthony-edwards-1-low/33/FBA-80BA-533/FBA-80BA-533_zoom1.jpg?ts=1748691047&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-anthony-edwards-1-low/33/FBA-80BA-533/FBA-80BA-533_zoom2.jpg?ts=1748691047&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-anthony-edwards-1-low/33/FBA-80BA-533/FBA-80BA-533_zoom3.jpg?ts=1748691047&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-anthony-edwards-1-low/33/FBA-80BA-533/FBA-80BA-533_zoom4.jpg?ts=1748691047&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-anthony-edwards-1-low/33/FBA-80BA-533/FBA-80BA-533_zoom5.jpg?ts=1748691047&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-anthony-edwards-1-low/33/FBA-80BA-533/FBA-80BA-533_zoom6.jpg?ts=1748691047&ims=544x";https://www.lojanba.com/p/tenis-adidas-anthony-edwards-1-low-FBA-80BA-533;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;não informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;premium;0.27510697206141455
6;FBA-8239-274-39;Tênis Adidas Anthony Edwards 1 Low;Unissex;adidas;dia a dia;Não Informado;Amarelo e Preto;99999.0;amarre os cadarços com o estilo de uma das estrelas em ascensão do esporte este tênis assinado pela adidas basketball e anthony edwards foi desenvolvido para os cestinhas do jogo a entressola boost e lightstrike combinada é ultraleve e adiciona um retorno de energia excepcional aos seus movimentos mais explosivos o solado de borracha fornece todo o suporte de que você precisa para partir para o ataque enquanto a marca assinada de anthony edwards completa o visual;0.0;0;39, 40, 41, 42, 43, 44, 45, 46;"https://static.lojanba.com/produtos/tenis-adidas-anthony-edwards-1-low/74/FBA-8239-274/FBA-8239-274_zoom1.jpg?ts=1773459071&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-anthony-edwards-1-low/74/FBA-8239-274/FBA-8239-274_zoom2.jpg?ts=1773459071&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-anthony-edwards-1-low/74/FBA-8239-274/FBA-8239-274_zoom3.jpg?ts=1773459071&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-anthony-edwards-1-low/74/FBA-8239-274/FBA-8239-274_zoom4.jpg?ts=1773459071&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-anthony-edwards-1-low/74/FBA-8239-274/FBA-8239-274_zoom5.jpg?ts=1773459071&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-anthony-edwards-1-low/74/FBA-8239-274/FBA-8239-274_zoom6.jpg?ts=1773459071&ims=544x";https://www.lojanba.com/p/tenis-adidas-anthony-edwards-1-low-FBA-8239-274;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;CONTRA DEFEITO DE FABRICAÇÃO;Estrangeira - Adquirida no mercado interno;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;não informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;premium;0.5016360432922226
7;FBA-0926-006-34;Tênis Adidas A.E. 1 Low;Unissex;adidas;dia a dia;Cano Alto;Preto;78999.0;amarre os cadarços com o estilo de uma das estrelas em ascensão do esporte este tênis assinado pela adidas basketball e anthony edwards foi desenvolvido para os cestinhas do jogo a entressola boost e lightstrike combinada é ultraleve e adiciona um retorno de energia excepcional aos seus movimentos mais explosivos o solado de borracha fornece todo o suporte de que você precisa para partir para o ataque enquanto a marca assinada de anthony edwards completa o visual;4.81;42;34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50;"https://static.lojanba.com/produtos/tenis-adidas-ae-1-low/06/FBA-0926-006/FBA-0926-006_zoom1.jpg?ts=1724613455&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-ae-1-low/06/FBA-0926-006/FBA-0926-006_zoom2.jpg?ts=1724613455&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-ae-1-low/06/FBA-0926-006/FBA-0926-006_zoom3.jpg?ts=1724613455&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-ae-1-low/06/FBA-0926-006/FBA-0926-006_zoom4.jpg?ts=1724613455&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-ae-1-low/06/FBA-0926-006/FBA-0926-006_zoom5.jpg?ts=1724613455&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-ae-1-low/06/FBA-0926-006/FBA-0926-006_zoom6.jpg?ts=1724613455&ims=544x";https://www.lojanba.com/p/tenis-adidas-ae-1-low-FBA-0926-006;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;não informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;premium;0.3959224767178455
8;FBA-8202-006-04;Short Adidas Anthony Edwards Foundation Masculino;Masculino;adidas;dia a dia;Não Informado;Preto;24999.0;este shorts de basquete da coleção adidas anthony edwards é a combinação perfeita com o tênis de basquete emblemático do superastro com modelagem folgada em malha leve ele se ajusta confortavelmente ao redor da cintura bolsos com zíper mantêm o básico por perto o logo emblemático do jogador juntamente com as três listras e as três barras dão o toque final;5.0;0;P, M, G, GG, EGG;"https://static.lojanba.com/produtos/short-adidas-anthony-edwards-foundation-masculino/06/FBA-8202-006/FBA-8202-006_zoom1.jpg?ts=1759993753&ims=544x; https://static.lojanba.com/produtos/short-adidas-anthony-edwards-foundation-masculino/06/FBA-8202-006/FBA-8202-006_zoom2.jpg?ts=1759993753&ims=544x; https://static.lojanba.com/produtos/short-adidas-anthony-edwards-foundation-masculino/06/FBA-8202-006/FBA-8202-006_zoom3.jpg?ts=1759993753&ims=544x; https://static.lojanba.com/produtos/short-adidas-anthony-edwards-foundation-masculino/06/FBA-8202-006/FBA-8202-006_zoom4.jpg?ts=1759993753&ims=544x; https://static.lojanba.com/produtos/short-adidas-anthony-edwards-foundation-masculino/06/FBA-8202-006/FBA-8202-006_zoom5.jpg?ts=1759993753&ims=544x; https://static.lojanba.com/produtos/short-adidas-anthony-edwards-foundation-masculino/06/FBA-8202-006/FBA-8202-006_zoom6.jpg?ts=1759993753&ims=544x";https://www.lojanba.com/p/short-adidas-anthony-edwards-foundation-masculino-FBA-8202-006;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;não informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;premium;0.12408759124087591
9;FBA-841A-782-38;Tênis Adidas Anthony Edwards 2;Unissex;adidas;dia a dia, jogo;Cano Alto;Preto e Marinho;139999.0;"comemore uma das estrelas em ascensão do esporte com os mais recentes tênis assinatura da adidas basketball e anthony edwards esses tênis de basquete de alto desempenho têm tudo a ver com dar suporte à ação de alta performance e alta velocidade que fez de edwards um superstar internacional combinando o retorno de energia do boost e o amortecimento superleve do lightstrike este tênis foi projetado para jogadores que dominam com sua velocidade e capacidade atlética com placa de propulsão que oferece suporte à torção e retorno de energia para que você se eleve com mais facilidade e haste articulada 
para você não escorregar nunca as pressas articuladas oferecem contenção para você movimentar de forma explosiva em todas as situações além dos logotipos da anthony edwards que completam o visual assinatura aposte";0.0;0;38, 39, 40, 41, 42, 43, 44;"https://static.lojanba.com/produtos/tenis-adidas-anthony-edwards-2/82/FBA-841A-782/FBA-841A-782_zoom1.jpg?ts=1774369083&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-anthony-edwards-2/82/FBA-841A-782/FBA-841A-782_zoom2.jpg?ts=1774369083&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-anthony-edwards-2/82/FBA-841A-782/FBA-841A-782_zoom3.jpg?ts=1774369083&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-anthony-edwards-2/82/FBA-841A-782/FBA-841A-782_zoom4.jpg?ts=1774369083&ims=544x; https://static.lojanba.com/produtos/tenis-adidas-anthony-edwards-2/82/FBA-841A-782/FBA-841A-782_zoom5.jpg?ts=1774369083&ims=544x";https://www.lojanba.com/p/tenis-adidas-anthony-edwards-2-FBA-841A-782;Não Informado;Têxtil e Sintético;Não Informado;Não Informado;Não Informado;CONTRA DEFEITO DE FABRICAÇÃO;Estrangeira - Adquirida no mercado interno;Não Informado;Não Informado;BOOST™, Lightstrike;Tam. (40) 420g (O peso do produto varia de acordo com a numeração);Tecnologias BOOST e LIGHTSTRIKE amortecem seus pés e dão conforto por mais tempo.;Basquete;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;não informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;premium;0.7029952177196074
